Title,Price,Availability,Rating,Price_Category,Sentiment
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,In stock,2,Low,Negative
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,In stock,1,High,Positive
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,In stock,2,High,Negative
Join,35.67,In stock,5,Medium,Neutral
In the Country We Love: My Family Divided,22.0,In stock,4,Medium,Positive
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,In stock,5,High,Positive
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,In stock,2,Medium,Negative
I am a Hero Omnibus Volume 1,54.63,In stock,3,High,Neutral
How to Be Miserable: 40 Strategies You Already Use,46.03,In stock,1,High,Negative
Her Backup Boyfriend (The Sorensen Family #1),33.97,In stock,1,Medium,Neutral
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,In stock,2,Medium,Neutral
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,In stock,3,Medium,Neutral
First and First (Five Boroughs #3),15.97,In stock,4,Low,Positive
Fifty Shades Darker (Fifty Shades #2),21.96,In stock,1,Medium,Neutral
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,In stock,2,High,Negative
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,In stock,2,Medium,Positive
Danganronpa Volume 1,51.99,In stock,4,High,Neutral
Crown of Midnight (Throne of Glass #2),43.29,In stock,3,High,Neutral
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,In stock,4,Medium,Neutral
Camp Midnight,17.08,In stock,4,Low,Neutral
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,In stock,5,Medium,Positive
Burning,28.81,In stock,3,Medium,Neutral
Bossypants,49.46,In stock,2,High,Neutral
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,In stock,2,Medium,Positive
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,In stock,2,Medium,Neutral
Algorithms to Live By: The Computer Science of Human Decisions,30.81,In stock,1,Medium,Positive
A World of Flavor: Your Gluten Free Passport,42.95,In stock,1,High,Positive
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,In stock,5,High,Neutral
A Murder in Time,16.64,In stock,1,Low,Neutral
A Flight of Arrows (The Pathfinders #2),55.53,In stock,5,High,Neutral
A Fierce and Subtle Poison,28.13,In stock,4,Medium,Negative
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,In stock,1,High,Neutral
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,In stock,5,High,Negative
You Are What You Love: The Spiritual Power of Habit,21.87,In stock,4,Medium,Positive
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,In stock,4,High,Positive
Tuesday Nights in 1980,21.04,In stock,2,Medium,Neutral
Tracing Numbers on a Train,41.6,In stock,3,High,Neutral
Throne of Glass (Throne of Glass #1),35.07,In stock,3,Medium,Neutral
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,In stock,1,High,Neutral
Thirteen Reasons Why,52.72,In stock,1,High,Neutral
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,In stock,4,High,Neutral
The Wedding Dress,24.12,In stock,1,Medium,Neutral
The Vacationers,42.15,In stock,4,High,Neutral
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,In stock,5,Low,Neutral
The Stranger,17.44,In stock,4,Low,Neutral
The Shadow Hero (The Shadow Hero),33.14,In stock,1,Medium,Neutral
The Secret (The Secret #1),27.37,In stock,4,Medium,Negative
The Regional Office Is Under Attack!,51.36,In stock,5,High,Neutral
The Psychopath Test: A Journey Through the Madness Industry,36.0,In stock,2,Medium,Neutral
The Project,10.65,In stock,1,Low,Neutral
The Power of Now: A Guide to Spiritual Enlightenment,43.54,In stock,2,High,Neutral
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,In stock,2,Medium,Positive
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,In stock,5,Medium,Positive
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,In stock,4,High,Neutral
The Mistake (Off-Campus #2),43.29,In stock,3,High,Neutral
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,In stock,1,High,Neutral
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,In stock,2,Medium,Positive
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,In stock,1,Low,Negative
The Kite Runner,41.82,In stock,4,High,Neutral
The House by the Lake,36.95,In stock,1,Medium,Neutral
The Glittering Court (The Glittering Court #1),44.28,In stock,1,High,Neutral
The Girl on the Train,55.02,In stock,2,High,Neutral
The Genius of Birds,17.24,In stock,1,Low,Neutral
The Emerald Mystery,23.15,In stock,2,Medium,Neutral
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,In stock,1,High,Positive
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,In stock,3,Medium,Positive
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,In stock,5,Medium,Positive
The Art of War,33.34,In stock,5,Medium,Neutral
The Argonauts,10.93,In stock,2,Low,Neutral
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,In stock,3,Medium,Positive
Suddenly in Love (Lake Haven #1),55.99,In stock,2,High,Positive
Something More Than This,16.24,In stock,4,Low,Positive
Soft Apocalypse,26.12,In stock,2,Medium,Positive
So You've Been Publicly Shamed,12.23,In stock,2,Low,Neutral
Shoe Dog: A Memoir by the Creator of NIKE,23.99,In stock,2,Medium,Neutral
"Shobu Samurai, Project Aryoku (#3)",29.06,In stock,3,Medium,Neutral
Secrets and Lace (Fatal Hearts #1),20.27,In stock,1,Medium,Neutral
Scarlett Epstein Hates It Here,43.55,In stock,5,High,Neutral
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,In stock,1,Medium,Negative
Redeeming Love,20.47,In stock,5,Medium,Positive
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,In stock,1,High,Neutral
Poems That Make Grown Women Cry,14.19,In stock,4,Low,Neutral
"Nightingale, Sing",38.28,In stock,1,Medium,Neutral
Night Sky with Exit Wounds,41.05,In stock,1,High,Neutral
Mrs. Houdini,30.25,In stock,5,Medium,Neutral
Modern Romance,28.26,In stock,5,Medium,Positive
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),10.76,In stock,1,Low,Neutral
Louisa: The Extraordinary Life of Mrs. Adams,16.85,In stock,2,Low,Positive
Little Red,13.47,In stock,3,Low,Negative
Library of Souls (Miss Peregrineâs Peculiar Children #3),48.56,In stock,5,High,Neutral
Large Print Heart of the Pride,19.15,In stock,2,Low,Positive
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,In stock,4,High,Positive
Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,In stock,1,High,Negative
Grumbles,22.16,In stock,2,Medium,Neutral
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,In stock,4,High,Positive
Frostbite (Vampire Academy #2),29.99,In stock,5,Medium,Neutral
Follow You Home,21.36,In stock,1,Medium,Neutral
First Steps for New Christians (Print Edition),29.0,In stock,1,Medium,Positive
Finders Keepers (Bill Hodges Trilogy #2),53.53,In stock,5,High,Neutral
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,In stock,4,High,Neutral
Eureka Trivia 6.0,54.59,In stock,4,High,Neutral
Drive: The Surprising Truth About What Motivates Us,34.95,In stock,4,Medium,Positive
Done Rubbed Out (Reightman & Bailey #1),37.72,In stock,5,Medium,Neutral
Doing It Over (Most Likely To #1),35.61,In stock,3,Medium,Positive
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,In stock,3,High,Positive
Dark Notes,19.19,In stock,5,Low,Negative
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,In stock,3,Low,Positive
Close to You,49.46,In stock,4,High,Neutral
Chasing Heaven: What Dying Taught Me About Living,37.8,In stock,2,Medium,Neutral
Big Magic: Creative Living Beyond Fear,30.8,In stock,3,Medium,Positive
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,In stock,2,Medium,Positive
Beauty Restored (Riley Family Legacy Novellas #3),11.11,In stock,2,Low,Neutral
Batman: The Long Halloween (Batman),36.5,In stock,2,Medium,Negative
Batman: The Dark Knight Returns (Batman),15.38,In stock,5,Low,Negative
Ayumi's Violin,15.48,In stock,2,Low,Neutral
Anonymous,46.82,In stock,4,High,Neutral
Amy Meets the Saints and Sages,18.46,In stock,3,Low,Neutral
Amid the Chaos,36.58,In stock,1,Medium,Neutral
Amatus,50.54,In stock,5,High,Neutral
Agnostic: A Spirited Manifesto,12.51,In stock,5,Low,Positive
Zealot: The Life and Times of Jesus of Nazareth,24.7,In stock,3,Medium,Neutral
You (You #1),43.61,In stock,5,High,Neutral
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,In stock,4,Medium,Neutral
Wild Swans,14.36,In stock,2,Low,Positive
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,In stock,4,High,Negative
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,In stock,4,Medium,Positive
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,In stock,2,Low,Neutral
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,In stock,1,High,Neutral
Walt Disney's Alice in Wonderland,12.96,In stock,5,Low,Neutral
V for Vendetta (V for Vendetta Complete),37.1,In stock,4,Medium,Positive
Until Friday Night (The Field Party #1),46.31,In stock,2,High,Neutral
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,In stock,2,High,Neutral
Twenty Yawns,22.08,In stock,2,Medium,Neutral
Through the Woods,25.38,In stock,2,Medium,Neutral
This Is Where It Ends,27.12,In stock,2,Medium,Neutral
The Year of Magical Thinking,43.04,In stock,2,High,Positive
The Wright Brothers,56.8,In stock,4,High,Neutral
The White Queen (The Cousins' War #1),25.91,In stock,5,Medium,Neutral
The Wedding Pact (The O'Malleys #2),32.61,In stock,3,Medium,Neutral
The Time Keeper,27.88,In stock,5,Medium,Neutral
The Testament of Mary,52.67,In stock,4,High,Neutral
The Star-Touched Queen,46.02,In stock,5,High,Neutral
The Songs of the Gods,44.48,In stock,5,High,Neutral
The Song of Achilles,37.4,In stock,5,Medium,Neutral
The Rosie Project (Don Tillman #1),54.04,In stock,1,High,Neutral
The Power of Habit: Why We Do What We Do in Life and Business,16.88,In stock,3,Low,Neutral
The Marriage of Opposites,28.08,In stock,4,Medium,Neutral
The Lucifer Effect: Understanding How Good People Turn Evil,10.4,In stock,1,Low,Negative
The Long Haul (Diary of a Wimpy Kid #9),44.07,In stock,1,High,Negative
The Loney,23.4,In stock,1,Medium,Neutral
The Literature Book (Big Ideas Simply Explained),17.43,In stock,3,Low,Neutral
The Last Mile (Amos Decker #2),54.21,In stock,2,High,Neutral
The Immortal Life of Henrietta Lacks,40.67,In stock,2,High,Neutral
The Hidden Oracle (The Trials of Apollo #1),52.26,In stock,2,High,Negative
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,In stock,3,Medium,Positive
The Guilty (Will Robie #4),13.82,In stock,2,Low,Negative
The First Hostage (J.B. Collins #2),25.85,In stock,3,Medium,Positive
The Dovekeepers,48.78,In stock,1,High,Neutral
The Darkest Lie,35.35,In stock,5,Medium,Neutral
The Bane Chronicles (The Bane Chronicles #1-11),44.73,In stock,4,High,Neutral
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,15.77,In stock,1,Low,Positive
The 14th Colony (Cotton Malone #11),39.24,In stock,1,Medium,Neutral
That Darkness (Gardiner and Renner #1),13.92,In stock,1,Low,Neutral
Tastes Like Fear (DI Marnie Rome #3),10.69,In stock,1,Low,Neutral
Take Me with You,45.21,In stock,3,High,Neutral
Swell: A Year of Waves,45.58,In stock,1,High,Neutral
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,In stock,5,Low,Neutral
Still Life with Bread Crumbs,26.41,In stock,3,Medium,Neutral
Steve Jobs,39.5,In stock,5,Medium,Neutral
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,In stock,4,High,Neutral
Someone Like You (The Harrisons #2),52.79,In stock,5,High,Neutral
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,In stock,4,Medium,Positive
Shtum,55.84,In stock,4,High,Neutral
See America: A Celebration of Our National Parks & Treasured Sites,48.87,In stock,3,High,Neutral
salt.,46.78,In stock,4,High,Neutral
Robin War,47.82,In stock,3,High,Neutral
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,In stock,2,Medium,Neutral
Rain Fish,23.57,In stock,3,Medium,Neutral
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,In stock,5,High,Positive
Pet Sematary,10.56,In stock,3,Low,Neutral
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,In stock,3,High,Neutral
Once Was a Time,18.28,In stock,2,Low,Neutral
Old School (Diary of a Wimpy Kid #10),11.83,In stock,5,Low,Positive
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,In stock,2,Medium,Positive
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,In stock,2,Medium,Neutral
My Name Is Lucy Barton,41.56,In stock,1,High,Neutral
My Mrs. Brown,24.48,In stock,3,Medium,Neutral
My Kind of Crazy,40.36,In stock,1,High,Neutral
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,In stock,1,Medium,Neutral
More Than Music (Chasing the Dream #1),37.61,In stock,2,Medium,Positive
Made to Stick: Why Some Ideas Survive and Others Die,38.85,In stock,5,Medium,Neutral
Luis Paints the World,53.95,In stock,3,High,Neutral
Luckiest Girl Alive,49.83,In stock,3,High,Positive
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,In stock,2,High,Negative
Love Is a Mix Tape (Music #1),18.03,In stock,1,Low,Positive
Looking for Lovely: Collecting the Moments that Matter,29.14,In stock,5,Medium,Positive
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,In stock,4,High,Positive
Let It Out: A Journey Through Journaling,26.79,In stock,5,Medium,Neutral
Lady Midnight (The Dark Artifices #1),16.28,In stock,5,Low,Negative
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,In stock,1,Low,Positive
Island of Dragons (Unwanteds #7),29.65,In stock,1,Medium,Neutral
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,In stock,4,Medium,Negative
I Am Pilgrim (Pilgrim #1),10.6,In stock,4,Low,Neutral
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,In stock,5,Low,Negative
"Hush, Hush (Hush, Hush #1)",47.02,In stock,3,High,Neutral
Hold Your Breath (Search and Rescue #1),28.82,In stock,1,Medium,Neutral
Hamilton: The Revolution,58.79,In stock,3,High,Neutral
Greek Mythic History,10.23,In stock,5,Low,Neutral
God: The Most Unpleasant Character in All Fiction,30.03,In stock,5,Medium,Negative
Glory over Everything: Beyond The Kitchen House,45.84,In stock,3,High,Neutral
Feathers: Displays of Brilliant Plumage,49.05,In stock,3,High,Positive
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,In stock,4,Low,Positive
Every Last Word,46.47,In stock,3,High,Neutral
Eligible (The Austen Project #4),27.09,In stock,3,Medium,Neutral
El Deafo,57.62,In stock,5,High,Neutral
Eight Hundred Grapes,14.39,In stock,4,Low,Neutral
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,In stock,5,High,Positive
"Eat Fat, Get Thin",54.07,In stock,2,High,Negative
Don't Get Caught,55.35,In stock,1,High,Neutral
Doctor Sleep (The Shining #2),40.12,In stock,2,High,Neutral
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,In stock,5,Medium,Neutral
Dear Mr. Knightley,11.21,In stock,5,Low,Neutral
Daily Fantasy Sports,36.58,In stock,1,Medium,Neutral
Crazy Love: Overwhelmed by a Relentless God,47.72,In stock,2,High,Negative
Cometh the Hour (The Clifton Chronicles #6),25.01,In stock,3,Medium,Neutral
Code Name Verity (Code Name Verity #1),22.13,In stock,4,Medium,Neutral
Clockwork Angel (The Infernal Devices #1),44.14,In stock,1,High,Neutral
City of Glass (The Mortal Instruments #3),56.02,In stock,4,High,Neutral
City of Fallen Angels (The Mortal Instruments #4),11.23,In stock,4,Low,Neutral
City of Bones (The Mortal Instruments #1),43.28,In stock,1,High,Neutral
City of Ashes (The Mortal Instruments #2),47.27,In stock,1,High,Neutral
Cell,20.29,In stock,4,Medium,Neutral
Catching Jordan (Hundred Oaks),50.83,In stock,3,High,Positive
"Carry On, Warrior: Thoughts on Life Unarmed",31.85,In stock,3,Medium,Neutral
Carrie,46.23,In stock,2,High,Neutral
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,In stock,4,Medium,Negative
Brain on Fire: My Month of Madness,49.32,In stock,5,High,Neutral
Batman: Europa,32.01,In stock,2,Medium,Neutral
Barefoot Contessa Back to Basics,28.01,In stock,1,Medium,Neutral
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,In stock,5,High,Negative
Balloon Animals,17.03,In stock,3,Low,Neutral
Art Ops Vol. 1,48.8,In stock,3,High,Neutral
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,In stock,4,High,Neutral
Angels Walking (Angels Walking #1),34.2,In stock,2,Medium,Neutral
Angels & Demons (Robert Langdon #1),51.48,In stock,3,High,Neutral
All the Light We Cannot See,29.87,In stock,5,Medium,Positive
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,In stock,2,Low,Neutral
Abstract City,56.37,In stock,5,High,Neutral
A Time of Torment (Charlie Parker #14),48.35,In stock,5,High,Neutral
A Study in Scarlet (Sherlock Holmes #1),16.73,In stock,2,Low,Neutral
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,In stock,2,High,Positive
A People's History of the United States,40.79,In stock,2,High,Neutral
A Man Called Ove,39.72,In stock,1,Medium,Neutral
A Distant Mirror: The Calamitous 14th Century,14.58,In stock,3,Low,Negative
A Brush of Wings (Angels Walking #3),55.51,In stock,1,High,Neutral
1491: New Revelations of the Americas Before Columbus,21.8,In stock,3,Medium,Positive
"The Three Searches, Meaning, and the Story",13.33,In stock,3,Low,Neutral
Searching for Meaning in Gailana,38.73,In stock,1,Medium,Neutral
Rook,37.86,In stock,4,Medium,Neutral
My Kitchen Year: 136 Recipes That Saved My Life,11.53,In stock,2,Low,Neutral
13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,In stock,1,Medium,Positive
Will You Won't You Want Me?,13.86,In stock,3,Low,Neutral
Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,In stock,1,Medium,Neutral
The Star-Touched Queen,32.3,In stock,5,Medium,Neutral
The Silent Sister (Riley MacPherson #1),46.29,In stock,5,High,Neutral
The Midnight Watch: A Novel of the Titanic and the Californian,26.2,In stock,1,Medium,Neutral
The Lonely City: Adventures in the Art of Being Alone,33.26,In stock,2,Medium,Negative
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,59.15,In stock,4,High,Neutral
